epoch,acc,loss,val_acc,val_loss
0,0.9400427693130179,0.17947067947940246,0.941088420827542,0.1739044497971527
1,0.9413525795241914,0.1760427175803208,0.944563241740618,0.1684991740949725
2,0.9417535418337343,0.1750004235407115,0.9420506789010565,0.17506819468688214
3,0.9418337342956429,0.1728859630334436,0.9291136533732492,0.20312524861901582
4,0.9439588345362203,0.17008658953009045,0.9361702127659575,0.18108514618611674
5,0.9442662389735365,0.16993733824526233,0.942799101892441,0.16742009110728853
6,0.9440924886394012,0.1688305947488481,0.9505506254677644,0.15786085554772897
7,0.9452552793370756,0.16638370818520487,0.9527958943654442,0.1518942420681052
8,0.9464448008553863,0.16497654664830325,0.9475569336041911,0.1603770664685278
9,0.9459101844426624,0.1636617158611042,0.9462204639967478,0.16740812990313786
10,0.9458968190323442,0.16473398071675657,0.9472896396878007,0.16130026627846175
11,0.9460839347767976,0.16368677370634604,0.9463273815633039,0.16167043549841412
12,0.9475808607324245,0.16152759429263547,0.9494814498022025,0.16166899696519818
13,0.9473536487570169,0.16099786948481368,0.9507110018175986,0.15574749727286044
14,0.9479149959903769,0.15942485191822212,0.9509782957339891,0.15642398304414407
15,0.9471531676022454,0.15862733884566418,0.9514059660002139,0.1543371075879606
16,0.9482224004276931,0.1569904669047804,0.9496952849098237,0.1577498163762264
17,0.9475273990911521,0.1587529318197562,0.9527424355885389,0.1521276778955836
18,0.9487837476610532,0.15595433891767552,0.9466481342629725,0.16232303825276656
19,0.9493450948944132,0.15547210313329973,0.9472361809045227,0.16172623415194284
